id,title,description,difficulty_level,examples,constraints,test_cases
551,Are Nodes Connected?,"Given a list of connections between nodes, represented as pairs of integers, determine if two specified nodes are connected. Return 1 if they are connected, and 0 otherwise. Use Union Find to solve this problem.",Easy,"[{""input"": {""connections"": [[1, 2], [2, 3]], ""query_nodes"": [1, 3]}, ""output"": 1}, {""input"": {""connections"": [[1, 2], [3, 4]], ""query_nodes"": [1, 4]}, ""output"": 0}]","[""0 <= number of connections <= 100"", ""1 <= node values <= 100""]","[{""input"": {""connections"": [[1, 2], [2, 3]], ""query_nodes"": [1, 3]}, ""expected_output"": 1}, {""input"": {""connections"": [[1, 2], [3, 4]], ""query_nodes"": [1, 4]}, ""expected_output"": 0}, {""input"": {""connections"": [[1, 2], [2, 3], [4, 5], [5, 6], [3, 5]], ""query_nodes"": [1, 6]}, ""expected_output"": 1}, {""input"": {""connections"": [[1, 2], [2, 3], [4, 5], [5, 6]], ""query_nodes"": [1, 6]}, ""expected_output"": 0}, {""input"": {""connections"": [], ""query_nodes"": [1, 2]}, ""expected_output"": 0}]"
552,Find Closest Element,"Given a sorted array of distinct integers and a target value, return the element in the array that is closest to the target. If there is a tie between two elements (same absolute difference), return the smaller element.",Medium,"[{""input"": {""nums"": [1, 2, 4, 5, 6], ""target"": 3}, ""output"": 2}, {""input"": {""nums"": [1, 2, 4, 5, 6], ""target"": 0}, ""output"": 1}]","[""-10^9 \u2264 target \u2264 10^9"", ""nums is sorted in ascending order and contains distinct integers."", ""-10^9 \u2264 nums[i] \u2264 10^9"", ""1 \u2264 nums.length \u2264 10^4""]","[{""input"": {""nums"": [1, 2, 4, 5, 6], ""target"": 3}, ""expected_output"": 2}, {""input"": {""nums"": [1, 2, 4, 5, 6], ""target"": 0}, ""expected_output"": 1}, {""input"": {""nums"": [1, 2, 4, 5, 6], ""target"": 7}, ""expected_output"": 6}, {""input"": {""nums"": [1, 5, 10], ""target"": 7}, ""expected_output"": 5}, {""input"": {""nums"": [2, 4, 6], ""target"": 5}, ""expected_output"": 4}]"
553,String Starts With Prefix,"Given a string and a prefix, return 1 if the string starts with the prefix, otherwise return 0.",Easy,"[{""input"": {""prefix"": ""Hello"", ""string"": ""HelloWorld""}, ""output"": 1}, {""input"": {""prefix"": ""Hello"", ""string"": ""GoodbyeWorld""}, ""output"": 0}]","[""string and prefix consist of alphanumeric characters"", ""1 \u2264 prefix.length \u2264 100"", ""1 \u2264 string.length \u2264 100""]","[{""input"": {""prefix"": ""Hello"", ""string"": ""HelloWorld""}, ""expected_output"": 1}, {""input"": {""prefix"": ""Hello"", ""string"": ""GoodbyeWorld""}, ""expected_output"": 0}, {""input"": {""prefix"": ""Prefix"", ""string"": ""PrefixString""}, ""expected_output"": 1}, {""input"": {""prefix"": ""Prefix"", ""string"": ""StringPrefix""}, ""expected_output"": 0}, {""input"": {""prefix"": ""abcd"", ""string"": ""abc""}, ""expected_output"": 0}]"
554,Maximum Subarray Sum of Size K,"Given an array of integers `nums` and an integer `k`, find the maximum sum of a contiguous subarray of size `k`. Return the maximum sum.",Easy,"[{""input"": {""k"": 4, ""nums"": [1, 4, 2, 10, 2, 3, 1, 0, 20]}, ""output"": 24}, {""input"": {""k"": 2, ""nums"": [-1, -2, -3, -4, -5]}, ""output"": -3}]","[""-10^4 <= nums[i] <= 10^4"", ""1 <= nums.length <= 10^5"", ""1 <= k <= nums.length""]","[{""input"": {""k"": 4, ""nums"": [1, 4, 2, 10, 2, 3, 1, 0, 20]}, ""expected_output"": 24}, {""input"": {""k"": 2, ""nums"": [-1, -2, -3, -4, -5]}, ""expected_output"": -3}, {""input"": {""k"": 1, ""nums"": [1, 2, 3, 4, 5]}, ""expected_output"": 5}, {""input"": {""k"": 5, ""nums"": [5, 4, 3, 2, 1]}, ""expected_output"": 15}, {""input"": {""k"": 3, ""nums"": [1, 1, 1, 1, 1]}, ""expected_output"": 3}]"
555,Maximum Fruits in Two Baskets,"Given an array 'fruits' representing a row of fruit trees, where fruits[i] is the type of fruit produced by the i-th tree. You want to collect fruits in two baskets. You can start picking from any tree, and you must pick exactly one fruit from every tree you visit moving to the right. The constraint is that you can only have at most two types of fruit in your baskets. Once you encounter a third type of fruit, you must stop picking. Return the maximum number of fruits you can collect.",Medium,"[{""input"": {""fruits"": [1, 2, 1]}, ""output"": 3}, {""input"": {""fruits"": [0, 1, 2, 2]}, ""output"": 3}]","[""0 <= fruits[i] < 10"", ""1 <= fruits.length <= 10^5""]","[{""input"": {""fruits"": [1, 2, 1]}, ""expected_output"": 3}, {""input"": {""fruits"": [0, 1, 2, 2]}, ""expected_output"": 3}, {""input"": {""fruits"": [1, 2, 3, 2, 2]}, ""expected_output"": 3}, {""input"": {""fruits"": [1, 2, 1, 2, 1]}, ""expected_output"": 5}, {""input"": {""fruits"": [3, 3, 3, 1, 2, 1, 1, 2, 3, 3, 4]}, ""expected_output"": 5}]"
556,Shortest Path within Limit,"Given a weighted directed graph represented as an adjacency list, a start node, an end node, and a maximum path length, determine if there exists a path from the start node to the end node such that the sum of the weights of the edges in the path is less than or equal to the given maximum path length. Return 1 if such a path exists, and 0 otherwise.",Medium,"[{""input"": {""graph"": {""0"": [{""to"": ""1"", ""weight"": 2}, {""to"": ""2"", ""weight"": 5}], ""1"": [{""to"": ""2"", ""weight"": 1}], ""2"": []}, ""end_node"": ""2"", ""start_node"": ""0"", ""max_path_length"": 4}, ""output"": 1}, {""input"": {""graph"": {""0"": [{""to"": ""1"", ""weight"": 2}, {""to"": ""2"", ""weight"": 5}], ""1"": [{""to"": ""2"", ""weight"": 1}], ""2"": []}, ""end_node"": ""2"", ""start_node"": ""0"", ""max_path_length"": 2}, ""output"": 0}]","[""Maximum number of nodes in the graph is 10."", ""Edge weights are positive integers."", ""Node names are strings."", ""The graph is represented as an adjacency list where keys are node names (strings) and values are lists of objects. Each object in the list represents an edge with 'to' (string, destination node) and 'weight' (integer, edge weight).""]","[{""input"": {""graph"": {""0"": [{""to"": ""1"", ""weight"": 2}, {""to"": ""2"", ""weight"": 5}], ""1"": [{""to"": ""2"", ""weight"": 1}], ""2"": []}, ""end_node"": ""2"", ""start_node"": ""0"", ""max_path_length"": 4}, ""expected_output"": 1}, {""input"": {""graph"": {""0"": [{""to"": ""1"", ""weight"": 2}, {""to"": ""2"", ""weight"": 5}], ""1"": [{""to"": ""2"", ""weight"": 1}], ""2"": []}, ""end_node"": ""2"", ""start_node"": ""0"", ""max_path_length"": 2}, ""expected_output"": 0}, {""input"": {""graph"": {""0"": [], ""1"": []}, ""end_node"": ""1"", ""start_node"": ""0"", ""max_path_length"": 5}, ""expected_output"": 0}, {""input"": {""graph"": {""0"": [{""to"": ""1"", ""weight"": 10}]}, ""end_node"": ""1"", ""start_node"": ""0"", ""max_path_length"": 5}, ""expected_output"": 0}, {""input"": {""graph"": {""0"": [{""to"": ""1"", ""weight"": 3}]}, ""end_node"": ""1"", ""start_node"": ""0"", ""max_path_length"": 5}, ""expected_output"": 1}]"
557,Treasure Hunt in a Grid,"Given a grid representing a map, determine if it is possible to reach the bottom-right cell from the top-left cell while collecting at least 'k' treasures. The grid contains 0 for empty cells, 1 for obstacles, 2 for treasures, and 3 for enemies. You can move up, down, left, or right. You cannot move into obstacle cells or enemy cells. Return 1 if a path exists that collects at least 'k' treasures, otherwise return 0.",Hard,"[{""input"": {""k"": 1, ""grid"": [[0, 2, 0], [0, 0, 0], [0, 0, 0]]}, ""output"": 1}, {""input"": {""k"": 2, ""grid"": [[0, 1, 0], [0, 2, 0], [0, 0, 0]]}, ""output"": 0}]","[""grid[i][j] can be 0, 1, 2, or 3."", ""0 \u2264 k \u2264 m * n"", ""1 \u2264 m, n \u2264 20, where m is the number of rows and n is the number of columns in the grid.""]","[{""input"": {""k"": 1, ""grid"": [[0, 2, 0], [0, 0, 0], [0, 0, 0]]}, ""expected_output"": 1}, {""input"": {""k"": 2, ""grid"": [[0, 1, 0], [0, 2, 0], [0, 0, 0]]}, ""expected_output"": 0}, {""input"": {""k"": 2, ""grid"": [[0, 2, 2], [0, 0, 0], [0, 0, 0]]}, ""expected_output"": 1}, {""input"": {""k"": 1, ""grid"": [[0, 3, 0], [0, 2, 0], [0, 0, 0]]}, ""expected_output"": 0}, {""input"": {""k"": 3, ""grid"": [[0, 2, 0], [0, 2, 0], [0, 2, 0]]}, ""expected_output"": 1}]"
558,Prefix Sum Query,"Given an array of size n initialized with all zeros. You are given a list of indices (1-based) to update to 1. After performing all updates, determine if the prefix sum up to a given index k (1-based) is greater than 0. Return 1 if it is, otherwise return 0.",Easy,"[{""input"": {""k"": 3, ""n"": 5, ""updates"": [1, 3]}, ""output"": 1}, {""input"": {""k"": 2, ""n"": 5, ""updates"": [4]}, ""output"": 0}]","[""1 \u2264 k \u2264 n"", ""1 \u2264 updates[i] \u2264 n"", ""0 \u2264 updates.length \u2264 n"", ""1 \u2264 n \u2264 10^4""]","[{""input"": {""k"": 3, ""n"": 5, ""updates"": [1, 3]}, ""expected_output"": 1}, {""input"": {""k"": 2, ""n"": 5, ""updates"": [4]}, ""expected_output"": 0}, {""input"": {""k"": 4, ""n"": 5, ""updates"": []}, ""expected_output"": 0}, {""input"": {""k"": 7, ""n"": 10, ""updates"": [2, 5, 8, 10]}, ""expected_output"": 1}, {""input"": {""k"": 1, ""n"": 10, ""updates"": [2, 5, 8, 10]}, ""expected_output"": 0}]"
560,Is Valid Red-Black Tree,"Given a binary search tree represented as a JSON object, determine if it is a valid Red-Black Tree. Return 1 if it is a valid Red-Black Tree, and 0 otherwise.  Assume null nodes are black.",Medium,"[{""input"": {""root"": {""left"": {""left"": null, ""color"": ""red"", ""right"": null, ""value"": 5}, ""color"": ""black"", ""right"": {""left"": null, ""color"": ""red"", ""right"": null, ""value"": 15}, ""value"": 10}}, ""output"": 1}, {""input"": {""root"": {""left"": {""left"": {""left"": null, ""color"": ""red"", ""right"": null, ""value"": 2}, ""color"": ""red"", ""right"": null, ""value"": 5}, ""color"": ""black"", ""right"": null, ""value"": 10}}, ""output"": 0}]","[""Number of nodes in the tree is between 0 and 1000."", ""Node colors are either 'red' or 'black'."", ""Node values are integers."", ""The input is a valid binary search tree structure in JSON format.""]","[{""input"": {""root"": {""left"": {""left"": {""left"": null, ""color"": ""red"", ""right"": null, ""value"": 5}, ""color"": ""black"", ""right"": {""left"": null, ""color"": ""red"", ""right"": null, ""value"": 15}, ""value"": 10}, ""color"": ""black"", ""right"": {""left"": {""left"": null, ""color"": ""red"", ""right"": null, ""value"": 25}, ""color"": ""black"", ""right"": {""left"": null, ""color"": ""red"", ""right"": null, ""value"": 35}, ""value"": 30}, ""value"": 20}}, ""expected_output"": 1}, {""input"": {""root"": {""left"": null, ""color"": ""red"", ""right"": null, ""value"": 10}}, ""expected_output"": 0}, {""input"": {""root"": {""left"": {""left"": {""left"": null, ""color"": ""red"", ""right"": null, ""value"": 5}, ""color"": ""red"", ""right"": null, ""value"": 10}, ""color"": ""black"", ""right"": null, ""value"": 20}}, ""expected_output"": 0}, {""input"": {""root"": {""left"": {""left"": null, ""color"": ""black"", ""right"": null, ""value"": 10}, ""color"": ""black"", ""right"": {""left"": {""left"": null, ""color"": ""red"", ""right"": null, ""value"": 25}, ""color"": ""black"", ""right"": null, ""value"": 30}, ""value"": 20}}, ""expected_output"": 1}, {""input"": {""root"": null}, ""expected_output"": 1}]"
561,Inversion Count Threshold,"Given an array of integers `nums` and an integer `threshold`, determine if the number of inversions in the array is strictly greater than the given `threshold`. An inversion is defined as a pair of indices (i, j) such that i < j and nums[i] > nums[j]. Return 1 if the number of inversions is greater than the threshold, otherwise return 0.",Medium,"[{""input"": {""nums"": [1, 3, 2, 4], ""threshold"": 1}, ""output"": 0}, {""input"": {""nums"": [4, 3, 2, 1], ""threshold"": 3}, ""output"": 1}]","[""0 \u2264 threshold \u2264 n * (n - 1) / 2, where n is the length of nums"", ""0 \u2264 nums[i] \u2264 10^9"", ""2 \u2264 nums.length \u2264 10^5""]","[{""input"": {""nums"": [1, 3, 2, 4], ""threshold"": 1}, ""expected_output"": 0}, {""input"": {""nums"": [4, 3, 2, 1], ""threshold"": 3}, ""expected_output"": 1}, {""input"": {""nums"": [2, 4, 1, 3, 5], ""threshold"": 2}, ""expected_output"": 1}, {""input"": {""nums"": [5, 4, 3, 2, 1], ""threshold"": 10}, ""expected_output"": 0}, {""input"": {""nums"": [1, 2, 3, 4, 5], ""threshold"": 0}, ""expected_output"": 0}]"
562,Value in Binary Tree,"Given a binary tree and a target integer, return 1 if the target integer exists in the tree, otherwise return 0. You should use pre-order traversal (root, left, right) to solve this problem.",Easy,"[{""input"": {""root"": {""val"": 5, ""left"": {""val"": 3, ""left"": null, ""right"": null}, ""right"": {""val"": 7, ""left"": null, ""right"": null}}, ""target"": 3}, ""output"": 1}, {""input"": {""root"": {""val"": 5, ""left"": {""val"": 3, ""left"": null, ""right"": null}, ""right"": {""val"": 7, ""left"": null, ""right"": null}}, ""target"": 9}, ""output"": 0}]","[""-100 <= target <= 100"", ""-100 <= Node.val <= 100"", ""The number of nodes in the tree is in the range [0, 100].""]","[{""input"": {""root"": {""val"": 1, ""left"": {""val"": 2, ""left"": null, ""right"": null}, ""right"": {""val"": 3, ""left"": null, ""right"": null}}, ""target"": 2}, ""expected_output"": 1}, {""input"": {""root"": {""val"": 4, ""left"": null, ""right"": null}, ""target"": 4}, ""expected_output"": 1}, {""input"": {""root"": null, ""target"": 5}, ""expected_output"": 0}, {""input"": {""root"": {""val"": 10, ""left"": {""val"": 5, ""left"": {""val"": 2, ""left"": null, ""right"": null}, ""right"": {""val"": 8, ""left"": null, ""right"": null}}, ""right"": {""val"": 15, ""left"": null, ""right"": null}}, ""target"": 8}, ""expected_output"": 1}, {""input"": {""root"": {""val"": 10, ""left"": {""val"": 5, ""left"": {""val"": 2, ""left"": null, ""right"": null}, ""right"": {""val"": 8, ""left"": null, ""right"": null}}, ""right"": {""val"": 15, ""left"": null, ""right"": null}}, ""target"": 6}, ""expected_output"": 0}]"
563,Subarray with Given Sum Threshold,"Given an array of integers `nums`, an integer `k`, and an integer `threshold`, determine if there exists a subarray of size `k` with a sum strictly greater than `threshold`. Return 1 if such a subarray exists, and 0 otherwise.",Easy,"[{""input"": {""k"": 3, ""nums"": [1, 3, -1, -3, 5, 3, 6, 7], ""threshold"": 10}, ""output"": 1}, {""input"": {""k"": 2, ""nums"": [1, 2, 3, 4, 5], ""threshold"": 10}, ""output"": 0}]","[""-10^9 <= threshold <= 10^9"", ""-10^4 <= nums[i] <= 10^4"", ""1 <= k <= nums.length <= 10^5""]","[{""input"": {""k"": 3, ""nums"": [1, 3, -1, -3, 5, 3, 6, 7], ""threshold"": 10}, ""expected_output"": 1}, {""input"": {""k"": 2, ""nums"": [1, 2, 3, 4, 5], ""threshold"": 10}, ""expected_output"": 0}, {""input"": {""k"": 3, ""nums"": [1, 2, 3, 4, 5], ""threshold"": 6}, ""expected_output"": 1}, {""input"": {""k"": 2, ""nums"": [-1, -2, -3, -4, -5], ""threshold"": -5}, ""expected_output"": 0}, {""input"": {""k"": 1, ""nums"": [10, 20, 30], ""threshold"": 5}, ""expected_output"": 1}]"
564,Bitwise XOR and Set Bits,"Given an array of non-negative integers 'nums' and two non-negative integers 'k' and 'p', determine if there exists at least one number in 'nums' such that when it is bitwise XORed with 'k', the result has exactly 'p' bits set to 1 in its binary representation. Return 1 if such a number exists, and 0 otherwise.",Hard,"[{""input"": {""k"": 3, ""p"": 2, ""nums"": [5, 8, 13]}, ""output"": 1}, {""input"": {""k"": 7, ""p"": 1, ""nums"": [1, 2, 3]}, ""output"": 1}]","[""0 \u2264 p \u2264 30"", ""0 \u2264 k \u2264 10^9"", ""0 \u2264 nums[i] \u2264 10^9"", ""1 \u2264 nums.length \u2264 10^5""]","[{""input"": {""k"": 3, ""p"": 2, ""nums"": [5, 8, 13]}, ""expected_output"": 1}, {""input"": {""k"": 7, ""p"": 1, ""nums"": [1, 2, 3]}, ""expected_output"": 1}, {""input"": {""k"": 5, ""p"": 3, ""nums"": [10, 20]}, ""expected_output"": 1}, {""input"": {""k"": 1, ""p"": 4, ""nums"": [2, 4, 6]}, ""expected_output"": 0}, {""input"": {""k"": 0, ""p"": 0, ""nums"": [0]}, ""expected_output"": 1}, {""input"": {""k"": 15, ""p"": 0, ""nums"": [15]}, ""expected_output"": 1}, {""input"": {""k"": 0, ""p"": 4, ""nums"": [15]}, ""expected_output"": 1}]"
565,System of Congruences,"Given two systems of linear congruences:

x ≡ a1 (mod n1)
x ≡ a2 (mod n2)

Determine if there exists an integer solution for x. Return 1 if a solution exists, otherwise return 0.",Hard,"[{""input"": {""moduli"": [3, 5], ""remainders"": [2, 3]}, ""output"": 1}, {""input"": {""moduli"": [4, 6], ""remainders"": [2, 3]}, ""output"": 0}]","[""-10^9 \u2264 remainders[i] \u2264 10^9"", ""1 \u2264 moduli[i] \u2264 10^9"", ""moduli.length == 2"", ""remainders.length == 2""]","[{""input"": {""moduli"": [3, 5], ""remainders"": [2, 3]}, ""expected_output"": 1}, {""input"": {""moduli"": [4, 6], ""remainders"": [2, 3]}, ""expected_output"": 0}, {""input"": {""moduli"": [15, 21], ""remainders"": [6, 8]}, ""expected_output"": 0}, {""input"": {""moduli"": [15, 21], ""remainders"": [6, 9]}, ""expected_output"": 1}, {""input"": {""moduli"": [12, 4], ""remainders"": [10, 2]}, ""expected_output"": 1}, {""input"": {""moduli"": [6, 3], ""remainders"": [1, 5]}, ""expected_output"": 0}]"
566,Stock Trading with Cooldown,"Given an array of stock prices for consecutive days, determine the maximum profit you can make by buying and selling stocks. You can buy and sell stock any number of times, but you must adhere to the following rules:
1. You must sell the stock before you can buy again.
2. After you sell your stock, you must wait one day before you can buy again (cooldown period). Return the maximum profit you can make, or 0 if no profit can be made.",Hard,"[{""input"": {""prices"": [1, 2, 3, 0, 2]}, ""output"": 3}, {""input"": {""prices"": [1, 2, 4]}, ""output"": 3}]","[""0 \u2264 prices[i] \u2264 1000"", ""1 \u2264 prices.length \u2264 5000""]","[{""input"": {""prices"": [1, 2, 3, 0, 2]}, ""expected_output"": 3}, {""input"": {""prices"": [1, 2, 4]}, ""expected_output"": 3}, {""input"": {""prices"": [5, 1, 2, 3, 4]}, ""expected_output"": 3}, {""input"": {""prices"": [3, 2, 6, 5, 0, 3]}, ""expected_output"": 7}, {""input"": {""prices"": [1]}, ""expected_output"": 0}]"
567,Path to Node in a Tree,"Given a tree represented as an adjacency list, determine if there is a path from the root node (node 0) to a target node. Return 1 if a path exists, otherwise return 0.",Easy,"[{""input"": {""tree"": {""0"": [1, 2], ""1"": [3, 4], ""2"": [], ""3"": [], ""4"": []}, ""target"": 4}, ""output"": 1}, {""input"": {""tree"": {""0"": [1, 2], ""1"": [3, 4], ""2"": [], ""3"": [], ""4"": []}, ""target"": 5}, ""output"": 0}]","[""0 \u2264 node values \u2264 100"", ""0 \u2264 number of nodes \u2264 100"", ""Nodes are represented by integers from 0 to N-1, where N is the number of nodes."", ""The tree is represented as an adjacency list where keys are node indices and values are lists of their children.""]","[{""input"": {""tree"": {""0"": [1, 2], ""1"": [3, 4], ""2"": [], ""3"": [], ""4"": []}, ""target"": 4}, ""expected_output"": 1}, {""input"": {""tree"": {""0"": [1, 2], ""1"": [3, 4], ""2"": [], ""3"": [], ""4"": []}, ""target"": 5}, ""expected_output"": 0}, {""input"": {""tree"": {""0"": [1], ""1"": [2], ""2"": [3], ""3"": []}, ""target"": 3}, ""expected_output"": 1}, {""input"": {""tree"": {""0"": [1], ""1"": [2], ""2"": [3], ""3"": []}, ""target"": 0}, ""expected_output"": 1}, {""input"": {""tree"": {""0"": [], ""1"": [], ""2"": []}, ""target"": 2}, ""expected_output"": 0}]"
568,Search Element in Sorted Array,"Given a sorted array of integers `nums` and an integer `target`, return 1 if the `target` exists in `nums`, otherwise return 0. You must implement binary search to solve this problem.",Easy,"[{""input"": {""nums"": [-1, 0, 3, 5, 9, 12], ""target"": 9}, ""output"": 1}, {""input"": {""nums"": [-1, 0, 3, 5, 9, 12], ""target"": 2}, ""output"": 0}]","[""-10^4 \u2264 target \u2264 10^4"", ""nums is sorted in ascending order."", ""-10^4 \u2264 nums[i] \u2264 10^4"", ""1 \u2264 nums.length \u2264 10^4""]","[{""input"": {""nums"": [-1, 0, 3, 5, 9, 12], ""target"": 9}, ""expected_output"": 1}, {""input"": {""nums"": [-1, 0, 3, 5, 9, 12], ""target"": 2}, ""expected_output"": 0}, {""input"": {""nums"": [5], ""target"": 5}, ""expected_output"": 1}, {""input"": {""nums"": [5], ""target"": -5}, ""expected_output"": 0}, {""input"": {""nums"": [1, 2, 3, 4, 5], ""target"": 6}, ""expected_output"": 0}]"
569,Peak Element in Mountain Array,"Given a mountain array `arr`, and a target number `target`, return 1 if the `target` is a peak element in the array, otherwise return 0. A peak element is defined as an element that is greater than both its neighbors. For the first and last elements, only one neighbor needs to be considered. For arrays of length 1, the single element is considered a peak.",Medium,"[{""input"": {""arr"": [1, 2, 3, 1], ""target"": 3}, ""output"": 1}, {""input"": {""arr"": [1, 2, 1, 3, 5, 6, 4], ""target"": 2}, ""output"": 1}]","[""arr is a mountain array."", ""-10^9 \u2264 arr[i] \u2264 10^9"", ""1 \u2264 arr.length \u2264 10^5""]","[{""input"": {""arr"": [1, 2, 3, 1], ""target"": 3}, ""expected_output"": 1}, {""input"": {""arr"": [1, 2, 1, 3, 5, 6, 4], ""target"": 2}, ""expected_output"": 1}, {""input"": {""arr"": [5], ""target"": 5}, ""expected_output"": 1}, {""input"": {""arr"": [1, 2, 3, 4, 5], ""target"": 5}, ""expected_output"": 1}, {""input"": {""arr"": [5, 4, 3, 2, 1], ""target"": 5}, ""expected_output"": 1}, {""input"": {""arr"": [1, 3, 2], ""target"": 3}, ""expected_output"": 1}, {""input"": {""arr"": [1, 2, 3, 4, 1, 2], ""target"": 4}, ""expected_output"": 1}, {""input"": {""arr"": [1, 2, 3, 4, 1, 2], ""target"": 2}, ""expected_output"": 0}, {""input"": {""arr"": [1, 2], ""target"": 2}, ""expected_output"": 1}, {""input"": {""arr"": [2, 1], ""target"": 2}, ""expected_output"": 1}]"
570,Increasing Path in Grid,"Given a 2D integer grid, determine if there exists a path from the top-left cell (0, 0) to the bottom-right cell (R-1, C-1) such that the values of the cells visited along the path are strictly increasing. You can move up, down, left, or right from one cell to another. Return 1 if such a path exists, and 0 otherwise.",Hard,"[{""input"": {""grid"": [[1, 2, 3], [4, 5, 6], [7, 8, 9]]}, ""output"": 1}, {""input"": {""grid"": [[9, 8, 7], [6, 5, 4], [3, 2, 1]]}, ""output"": 0}]","[""1 <= grid[i][j] <= 10^5"", ""1 <= R, C <= 50"", ""C == grid[i].length"", ""R == grid.length""]","[{""input"": {""grid"": [[1, 2, 3], [4, 5, 6], [7, 8, 9]]}, ""expected_output"": 1}, {""input"": {""grid"": [[9, 8, 7], [6, 5, 4], [3, 2, 1]]}, ""expected_output"": 0}, {""input"": {""grid"": [[1, 5, 2], [3, 4, 6]]}, ""expected_output"": 1}, {""input"": {""grid"": [[5, 1, 2], [3, 4, 6]]}, ""expected_output"": 0}, {""input"": {""grid"": [[1, 2], [4, 3]]}, ""expected_output"": 1}]"
571,Check Minimum,"Given a list of integers nums and an integer threshold, return 1 if the smallest number in the list is less than the threshold, otherwise return 0.",Easy,"[{""input"": {""nums"": [5, 2, 8, 1], ""threshold"": 3}, ""output"": 1}, {""input"": {""nums"": [5, 2, 8, 1], ""threshold"": 1}, ""output"": 0}]","[""-10^9 \u2264 threshold \u2264 10^9"", ""-10^9 \u2264 nums[i] \u2264 10^9"", ""2 \u2264 nums.length \u2264 10^4""]","[{""input"": {""nums"": [5, 2, 8, 1], ""threshold"": 3}, ""expected_output"": 1}, {""input"": {""nums"": [5, 2, 8, 1], ""threshold"": 1}, ""expected_output"": 0}, {""input"": {""nums"": [5, 2, 8, 1], ""threshold"": 0}, ""expected_output"": 0}, {""input"": {""nums"": [-1, -5, 0], ""threshold"": -2}, ""expected_output"": 1}, {""input"": {""nums"": [100, 200, 300], ""threshold"": 50}, ""expected_output"": 0}]"
572,Validate Tree Traversal,"Given two integer arrays, `preorder` and `postorder`, representing the preorder and postorder traversals of a binary tree, determine if these traversals could correspond to the same binary tree. Return 1 if they could, and 0 otherwise. Assume all node values are unique.",Hard,"[{""input"": {""preorder"": [1, 2, 3], ""postorder"": [3, 2, 1]}, ""output"": 1}, {""input"": {""preorder"": [1, 2, 4, 5, 3, 6, 7], ""postorder"": [4, 5, 2, 6, 7, 3, 1]}, ""output"": 1}]","[""All values in `postorder` are unique."", ""All values in `preorder` are unique."", ""1 <= preorder[i] <= 100"", ""preorder.length == postorder.length"", ""1 <= preorder.length <= 30""]","[{""input"": {""preorder"": [1, 2, 3], ""postorder"": [3, 2, 1]}, ""expected_output"": 1}, {""input"": {""preorder"": [1, 2, 4, 5, 3, 6, 7], ""postorder"": [4, 5, 2, 6, 7, 3, 1]}, ""expected_output"": 1}, {""input"": {""preorder"": [1, 2, 3], ""postorder"": [2, 3, 1]}, ""expected_output"": 0}, {""input"": {""preorder"": [1, 2, 2], ""postorder"": [2, 2, 1]}, ""expected_output"": 0}, {""input"": {""preorder"": [10], ""postorder"": [10]}, ""expected_output"": 1}]"
573,Rotatable Array Partition,"Given an array of integers, determine if it is possible to partition the array into two contiguous subarrays with equal sums after rotating the array any number of times (including zero rotations). Return 1 if possible, otherwise return 0.",Medium,"[{""input"": {""nums"": [1, 2, 3, 0, 0]}, ""output"": 1}, {""input"": {""nums"": [1, 2, 3, 0, 3]}, ""output"": 0}]","[""-10^5 \u2264 nums[i] \u2264 10^5"", ""2 \u2264 nums.length \u2264 10^4""]","[{""input"": {""nums"": [1, 2, 3, 0, 0]}, ""expected_output"": 1}, {""input"": {""nums"": [1, 2, 3, 0, 3]}, ""expected_output"": 0}, {""input"": {""nums"": [1, 2, 3, 3]}, ""expected_output"": 0}, {""input"": {""nums"": [10, 10]}, ""expected_output"": 1}, {""input"": {""nums"": [1, 1, 1, 1, 1, 5]}, ""expected_output"": 1}]"
574,K-th Smallest Element Check,"Given an array of integers nums, an integer k, and an integer target, return 1 if the k-th smallest element in the array is less than or equal to target, otherwise return 0.",Easy,"[{""input"": {""k"": 2, ""nums"": [3, 2, 1, 5, 6, 4], ""target"": 3}, ""output"": 1}, {""input"": {""k"": 3, ""nums"": [3, 2, 1, 5, 6, 4], ""target"": 2}, ""output"": 0}]","[""-10^9 \u2264 target \u2264 10^9"", ""-10^9 \u2264 nums[i] \u2264 10^9"", ""1 \u2264 k \u2264 nums.length"", ""2 \u2264 nums.length \u2264 10^4""]","[{""input"": {""k"": 2, ""nums"": [3, 2, 1, 5, 6, 4], ""target"": 3}, ""expected_output"": 1}, {""input"": {""k"": 3, ""nums"": [3, 2, 1, 5, 6, 4], ""target"": 2}, ""expected_output"": 0}, {""input"": {""k"": 1, ""nums"": [1, 2, 3, 4, 5], ""target"": 1}, ""expected_output"": 1}, {""input"": {""k"": 5, ""nums"": [5, 4, 3, 2, 1], ""target"": 1}, ""expected_output"": 1}, {""input"": {""k"": 3, ""nums"": [5, 4, 3, 2, 1], ""target"": 3}, ""expected_output"": 1}, {""input"": {""k"": 3, ""nums"": [5, 4, 3, 2, 1], ""target"": 2}, ""expected_output"": 0}]"
